name,target,version,median,min,max,accuracy
Swift,swift,6.2.4,402.87399,378.65896,806.03686,9.856455
Fortran 90,fortran,14.3.0,483.85665,483.38997,498.12975,9.389531
Swift (SIMD),swift-simd,6.2.4,1131.45826,908.13802,1181.70163,8.69276
Ada (gnat-gcc),ada,15.2.0,1236.25704,1074.94845,1360.06377,9.496394
LuaJIT,luajit,2.1.1723681758,1169.27265,1138.45176,1171.43343,9.496394
Dart (AOT),dart-aot,3.12.2,2171.88839,1205.5109,2354.29217,9.497907
Crystal,crystal,1.18.2,1229.30557,1218.97878,1255.54685,9.496394
Pascal (FPC),pascal,3.2.2,1334.60556,1245.61324,1643.20875,9.497907
Swift (relaxed),swift-relaxed,6.2.4,2581.012,1260.37413,2590.32362,9.497907
Pony,pony,0.58.0,1575.87346,1261.24591,1593.43616,9.497907
Pony(nightly),pony-nightly,20231205,1506.83007,1378.49687,1545.96346,9.497907
Javascript (nodejs),nodejs,25.9.0,1471.14332,1452.12335,1511.97132,9.497907
Python (Numba),cpython-numba,3.13.14,1487.17892,1484.63501,1637.89748,9.496394
WASM (C via Wasmtime),wasm,39.0.1,2363.82002,1766.56421,2831.57412,9.497907
Javascript (bun),bunjs,1.3.14,2409.81974,2382.41779,2485.59659,9.497907
Python (MyPyC),mypyc,2.1.0,4324.274,4314.7689,6873.62869,9.497907
Python (PyPy),pypy,3.11.15,5585.95482,5562.03136,6010.9039,9.496394
R,r,4.5.2,8108.16119,7060.8637,8192.38053,9.49715
Dart (JIT),dart,3.12.2,8405.53146,7885.08025,11821.58308,9.497907
PHP,php,8.4.21,24412.15571,20440.82277,26741.99344,9.496394
Lua,lua,5.4.8,22103.49366,20467.95981,23510.76779,9.496394
Janet (compiled),janet-compiled,1.41.2,24197.933,23863.06564,24463.39561,9.496394
Ruby,ruby,3.4.9,52375.94602,52177.48947,52839.18754,9.496394
Raku,raku,2026.03,107057.80973,106828.20354,112151.7352,9.496394
Perl,perl,5,110067.65319,110027.52581,110537.93255,9.496394
Python (CPython),cpython,3.14.6,136875.00425,131485.18018,137569.69434,9.496394
